province,year,wage_region,informal_rate,min_wage_nominal,cpi_index,cpi_2018_base,real_min_wage,log_real_min_wage,min_wage_growth,unemployment_rate,labour_productivity,trained_labour_rate,employed_persons,log_employed_persons
Phu Tho,2021,III,67.35,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,0.93,120.95,34.59,673.0,6.511745329644728
Phu Tho,2022,III,63.53,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,1.12,128.0,33.21,706.75,6.5606769965737
Phu Tho,2023,III,63.73,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,1.29,139.55,34.05,713.64,6.570378633506502
Phu Tho,2024,III,61.45,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,1.51,157.46,35.23,716.6,6.574517804870854
Phu Yen,2018,III,87.54,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,1.21,74.57,14.8,517.7,6.249395923907856
Phu Yen,2019,III,85.28,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,2.17,83.23,16.6,510.13,6.23466559519717
Phu Yen,2020,III,86.46,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,2.76,88.66,17.52,497.89,6.210379169092156
Phu Yen,2021,III,80.48,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,3.29,100.0,21.62,451.15,6.11179987844051
Phu Yen,2022,III,81.16,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,2.95,109.81,21.67,456.04,6.122580524965519
Phu Yen,2023,III,79.5,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,2.57,119.73,23.08,462.28,6.136170768107241
Phu Yen,2024,III,80.6,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,2.46,129.63,23.9,466.03,6.144250009735895
Quang Binh,2018,III,81.63,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,3.42,69.22,25.1,511.31,6.236976059884137
Quang Binh,2019,III,85.78,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,1.34,76.81,21.7,510.64,6.235664840947802
Quang Binh,2020,III,86.46,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,3.49,85.3,21.87,489.81,6.1940175608061825
Quang Binh,2021,III,82.56,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,3.6,107.05,26.53,419.33,6.038658199435085
Quang Binh,2022,III,77.18,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,3.35,118.86,26.98,421.99,6.044981617072777
Quang Binh,2023,III,76.93,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,3.16,128.7,27.66,422.96,6.0472776119271945
Quang Binh,2024,III,77.23,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,3.06,141.18,28.45,423.89,6.049473987610882
Quang Nam,2018,III,74.93,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,3.18,104.12,20.3,881.23,6.781318658833481
Quang Nam,2019,III,76.11,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,3.2,113.46,18.7,871.74,6.770491214311303
Quang Nam,2020,III,72.89,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,4.09,114.52,21.49,859.68,6.756560226980511
Quang Nam,2021,III,71.97,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,4.21,134.07,26.57,790.23,6.672324042328769
Quang Nam,2022,III,67.61,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,4.05,147.92,26.66,808.75,6.695489845815111
Quang Nam,2023,III,65.44,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,4.04,143.62,27.51,808.57,6.695267255355902
Quang Nam,2024,III,62.88,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,3.89,157.43,28.48,815.0,6.703188113240863
Quang Ngai,2018,III,84.76,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,2.35,114.95,18.2,725.03,6.58621303330892
Quang Ngai,2019,III,83.15,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,2.3,119.83,20.9,725.05,6.586240617993904
Quang Ngai,2020,III,79.67,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,3.19,120.46,22.03,711.42,6.5672629726980345
Quang Ngai,2021,III,77.07,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,2.28,154.19,26.12,657.7,6.488748900307305
Quang Ngai,2022,III,73.78,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,1.82,185.85,25.19,664.03,6.498327329178707
Quang Ngai,2023,III,73.25,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,2.09,188.79,26.06,667.09,6.502924969346782
Quang Ngai,2024,III,71.82,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,2.64,196.58,27.36,668.32,6.504767100748865
Quang Ninh,2018,I,62.54,3980000,159.06964122458,100.0,3980000.0,15.196792377260621,0.0,3.19,229.22,35.6,721.35,6.581124456391781
Quang Ninh,2019,I,63.1,4180000,163.51694791292,102.79582367452576,4066313.0568755413,15.218247264027399,0.021686697707422375,2.73,265.0,37.7,716.48,6.57435033341039
Quang Ninh,2020,I,62.12,4420000,168.78372148334,106.106809686611,4165613.887604929,15.242374214703926,0.02442036049376095,3.22,309.04,38.65,673.5,6.512487995850418
Quang Ninh,2021,I,56.92,4420000,171.88042266406,108.05356782152622,4090563.6797672277,15.224193337536809,-0.018016602081392663,2.23,351.31,41.39,654.37,6.483672940716908
Quang Ninh,2022,I,49.84,4550000,177.30584109585,111.46428679343252,4082024.952469427,15.222103735138102,-0.002087420699507736,2.21,405.68,41.78,664.28,6.498703747338553
Quang Ninh,2023,I,49.89,4680000,183.07341008214,115.0901005828451,4066379.2770180125,15.218263548952427,-0.003832822100205413,2.22,438.65,41.89,671.14,6.508977759023789
Quang Ninh,2024,I,49.47,4820000,189.7026680414,119.2576198581923,4041670.465779377,15.21216864610592,-0.006076366604139016,2.15,481.87,42.35,678.46,6.519825523963033
Quang Tri,2018,III,77.87,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,3.71,85.57,26.0,334.79,5.81350346959099
Quang Tri,2019,III,80.68,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,3.16,93.68,23.2,340.41,5.830150773471008
Quang Tri,2020,III,79.14,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,3.93,100.15,25.6,336.31,5.818033353659475
Quang Tri,2021,III,77.4,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,3.83,116.73,27.7,321.35,5.772530871817295
Quang Tri,2022,III,75.05,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,2.77,129.71,27.09,326.42,5.78818489572255
Quang Tri,2023,III,74.59,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,2.76,141.91,27.96,327.02,5.79002133110644
Quang Tri,2024,III,75.26,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,2.22,153.9,30.03,329.97,5.799001741237135
Soc Trang,2018,III,85.23,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,3.4,77.23,11.4,649.14,6.475648409927537
